,date,user,conversation,replies number,likes number,rewteets number,cleaned_data,token_data,polarity,bert_sentiment,vader_sentiment
0,2023-03-09 00:49:53+00:00,CathieDWood,"Provocative. During the last few years, I have expressed my frustration with Google search, deeming it primitive AI, notwithstanding Alphabet’s DeepMind expertise. OpenAI/Microsoft’s ChatGPT is the “iPhone moment” of this decade, changing everything. Disruptive innovation!",123,943,105,provocative during last years i expressed frustration google search deeming primitive ai notwithstanding alphabet’s deepmind expertise openaimicrosoft’s chatgpt “iphone moment” decade changing everything disruptive innovation,provocative during last years i expressed frustration google search deeming primitive ai notwithstanding alphabet’s deepmind expertise openaimicrosoft’s chatgpt “iphone moment” decade changing everything disruptive innovation,"('Neutral', 0.0)","{'Negative': 0.62267244, 'Neutral': 0.30871445, 'Positive': 0.06861311}","{'neg': 0.186, 'neu': 0.724, 'pos': 0.09, 'compound': -0.4215}"
0,2023-03-08 15:43:19+00:00,CathieDWood,Important perspective.,15,239,19,important perspective,important perspective,"('Positive', 0.4)","{'Negative': 0.046489425, 'Neutral': 0.7410526, 'Positive': 0.21245794}","{'neg': 0.0, 'neu': 0.357, 'pos': 0.643, 'compound': 0.2023}"
0,2023-03-03 05:27:43+00:00,CathieDWood,"On @CNBC this week, @SaraEisen asked if #Tesla is cutting prices in response to competition. After investor day, @skorusARK illustrated that Tesla is passing along drivetrain cost declines that will cut the price of the Model 3 in half to $25,000, undercutting competition!",113,1014,140,on cnbc week saraeisen asked tesla cutting prices response competition after investor day skorusark illustrated tesla passing along drivetrain cost declines cut price model  half  undercutting competition,on cnbc week saraeisen asked tesla cutting prices response competition after investor day skorusark illustrated tesla passing along drivetrain cost declines cut price model  half  undercutting competition,"('Negative', -0.3833333333333333)","{'Negative': 0.016892577, 'Neutral': 0.38931772, 'Positive': 0.5937897}","{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.3818}"
0,2023-03-02 03:11:38+00:00,CathieDWood,"Welcome to @ARKInvest, Daniel! We are delighted that you will be working with @TashaARK and @skorusARK to  research autonomous mobility, the biggest technologically-enabled revenue opportunity that we expect to evolve during the next five to ten years.",46,367,22,welcome arkinvest daniel we delighted working tashaark skorusark research autonomous mobility biggest technologicallyenabled revenue opportunity expect evolve next five ten years,welcome arkinvest daniel we delighted working tashaark skorusark research autonomous mobility biggest technologicallyenabled revenue opportunity expect evolve next five ten years,"('Positive', 0.38)","{'Negative': 0.0007876864, 'Neutral': 0.010138604, 'Positive': 0.9890737}","{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.8442}"
0,2023-02-28 17:36:30+00:00,CathieDWood,@daltonan Looking forward to tuning in!,3,21,2,daltonan looking forward tuning in,daltonan looking forward tuning in,"('Neutral', 0.0)","{'Negative': 0.00093978207, 'Neutral': 0.031964127, 'Positive': 0.9670961}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
0,2023-02-18 05:03:38+00:00,CathieDWood,"One more thought: @ARKInvest has a five year investment time horizon. Now that the most brutal interest rate increase in history is near an end, growth stocks in general and innovation-based strategies in particular should make up for lost time.",241,1754,138,one thought arkinvest five year investment time horizon now brutal interest rate increase history near end growth stocks general innovationbased strategies particular make lost time,one thought arkinvest five year investment time horizon now brutal interest rate increase history near end growth stocks general innovationbased strategies particular make lost time,"('Negative', -0.13958333333333334)","{'Negative': 0.1844452, 'Neutral': 0.56583107, 'Positive': 0.24972373}","{'neg': 0.187, 'neu': 0.583, 'pos': 0.23, 'compound': 0.128}"
0,2023-02-18 04:53:34+00:00,CathieDWood,"Thank you, @EricBalchunas, for defending active equity management. Upon hearing why I founded @ARKInvest in 2014, a friend who was not in the investment business said, “Oh, you mean the future of investing is investing in the future?” Yes! Please see ARK’s Big Ideas 2023.",36,387,29,thank you ericbalchunas defending active equity management upon hearing i founded arkinvest  friend not investment business said “oh mean future investing investing future” yes please see ark’s big ideas ,thank you ericbalchunas defending active equity management upon hearing i founded arkinvest  friend not investment business said “oh mean future investing investing future” yes please see ark’s big ideas ,"('Negative', -0.08916666666666666)","{'Negative': 0.003850113, 'Neutral': 0.06884499, 'Positive': 0.9273049}","{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.9081}"
0,2023-02-18 04:30:00+00:00,CathieDWood,"Think about AI as the assembly line for knowledge workers! Roughly 100 years ago, the assembly line turbocharged the Industrial Revolution. Today, AI is turbocharging the digital revolution, not only for enterprises but also for consumers.",64,943,138,think ai assembly line knowledge workers roughly years ago assembly line turbocharged industrial revolution today ai turbocharging digital revolution not enterprises but also consumers,think ai assembly line knowledge workers roughly years ago assembly line turbocharged industrial revolution today ai turbocharging digital revolution not enterprises but also consumers,"('Negative', -0.05)","{'Negative': 0.015989294, 'Neutral': 0.30282515, 'Positive': 0.68118554}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
0,2023-02-18 04:23:29+00:00,CathieDWood,"Charlie Munger and many on Wall Street do not understand that passing along the lower costs associated with technologically-enabled innovation, in #Tesla’s case batteries and drivetrains, will cause a boom in unit demand, discrediting the Keynesian/Fed’s Phillips Curve model.",359,3146,350,charlie munger many wall street not understand passing along lower costs associated technologicallyenabled innovation tesla’s case batteries drivetrains cause boom unit demand discrediting keynesianfed’s phillips curve model,charlie munger many wall street not understand passing along lower costs associated technologicallyenabled innovation tesla’s case batteries drivetrains cause boom unit demand discrediting keynesianfed’s phillips curve model,"('Positive', 0.5)","{'Negative': 0.3709398, 'Neutral': 0.5039082, 'Positive': 0.12515207}","{'neg': 0.122, 'neu': 0.792, 'pos': 0.086, 'compound': -0.0258}"
0,2023-02-15 01:22:27+00:00,CathieDWood,"The 10-fold increase in lithium prices during the past two years is a clarion call for more production and supply. Now that CATL in China, Samsung and LG in Korea, and major auto makers have committed to the EV revolution, odds are high that lithium will be in excess supply…",260,1727,205,thefold increase lithium prices past two years clarion call production supply now catl china samsung lg korea major auto makers committed ev revolution odds high lithium excess supply…,thefold increase lithium prices past two years clarion call production supply now catl china samsung lg korea major auto makers committed ev revolution odds high lithium excess supply…,"('Negative', -0.009166666666666665)","{'Negative': 0.15516315, 'Neutral': 0.6131993, 'Positive': 0.23163755}","{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.5267}"
