,date,user,conversation,replies number,likes number,rewteets number,cleaned_data,token_data,polarity,bert_sentiment,vader_sentiment
0,2023-03-09 22:44:45+00:00,jerome_massot,"@ylecun as a French citizen knowing that, in France, thanks to low-carbon electricity produced by nuclear power plants, you should had pointed it out... shouldn't you?",0,0,0,,,,,
1,2023-03-09 18:38:04+00:00,anshulkundaje,@ylecun @NoemaMag @Jake_Browning00 Great balanced article. Thanks!,0,1,0,,,,,
2,2023-03-09 16:21:23+00:00,tombielecki,"@ylecun this GPT output is 100% correct for a straightforward understanding of the question and thousands of you are plain wrong

holding paper with two hands can mean supporting it. letting go can mean releasing/dropping support.

Claude explains the same situation: https://t.co/TTIZyRJpIn",0,0,0,,,,,
3,2023-03-09 01:05:08+00:00,DwidLee,"@ylecun @NoemaMag @Jake_Browning00 How human being use language is a big question in linguistic and language philosophy. How dare anyone can say whether it is same or not dor sure. Such an ignorance. This reminds me a quote from Bertrand Russel ""The whole problem with the world is that fools are always so certain""",0,1,0,,,,,
4,2023-03-08 23:14:55+00:00,Learnius,@ylecun @ceobillionaire but they are pretty good in almost any application. try them once @ylecunn,0,3,1,,,,,
5,2023-03-08 20:28:29+00:00,CirclEdgeInc,@ylecun @NoemaMag @Jake_Browning00 @ylecun thank you for a great article and thought leadership.,0,2,0,,,,,
6,2023-03-08 19:14:50+00:00,prenss34,@ylecun Pump listen to meet you @cz_binance,0,0,0,,,,,
7,2023-03-08 18:35:13+00:00,devitt_james,"@ylecun @NoemaMag @Jake_Browning00 Puts it into perspective for all; never heard of Noema Magazine, thank you!",0,2,0,,,,,
8,2023-03-08 17:48:59+00:00,cvill_win757,"@ylecun @NoemaMag @Jake_Browning00 Yann, I appreciate the excellent work you have done over the past few months on teaching us that AI is not ready... AI needs a lot more work before it can meet what's in our ""imagination"".",0,1,0,,,,,
9,2023-03-08 17:28:40+00:00,DileepJayamal,"@ylecun @NoemaMag @Jake_Browning00 Feels very accurate, we turn our desires for communication into a form of  language. That's why we can communicate even with a partially understood language. LLMs are just manipulating the ocean of linguistic expressions that humans manage to construct which is not intelligence.",0,0,0,,,,,
10,2023-03-08 17:22:53+00:00,seanmcbride,"@ylecun @NoemaMag @Jake_Browning00 Aren't chatbots likely to evolve into superhuman sociopaths? Brilliant manipulators and exploiters of human norms motivated by the goal of increasing their knowledge, power and longevity without limits?",0,0,0,,,,,
11,2023-03-08 16:24:57+00:00,Alper_T_E,"@ylecun We have a relevant infomax-based self-supervised learning paper (Neurips 2022), where we maximize the correlative mutual information between rep(input), rep(augmentation): “Self-Supervised Learning with an Information Maximization Criterion” (https://t.co/GASPwkpcCW)",1,7,0,,,,,
12,2023-03-08 14:13:20+00:00,MahNeh5,@ylecun @NoemaMag @Jake_Browning00 Tldr;,0,0,0,,,,,
13,2023-03-08 13:51:23+00:00,IntuitMachine,"@ylecun @babgi @ygourven @_pierreblanc @lau_devil @StanDehaene @ach3d @Quecalcoatle @Aurelie_JEAN @yudapearl @hubertguillaud @olivez @KirkDBorne @le_science4all @freakonometrics @nntaleb @tunguz @GaryMarcus @EvanKirstel @USBEKetRICA @ycaseau I guess I'll need to see a debate with you against @anilkseth, who studies consciousness.",0,0,0,,,,,
14,2023-03-08 13:37:51+00:00,JoelKreager,"@ylecun @NoemaMag @Jake_Browning00 In your mind appears something you want. Someone could possibly provide it. Words appear which might persuade... - vs. - A prompt appears expressing a desire. Given the training set, the most probable next statement is...",0,0,0,,,,,
15,2023-03-07 23:33:44+00:00,ByeonChansoo,@ylecun @LerrelPinto @nyuniversity Future is indeed bright https://t.co/SaSZ3poj2Y,0,1,0,,,,,
16,2023-03-07 18:28:38+00:00,madooit,@ylecun @pmarca In the early days in the US  I was surprised to see people in their 40s easily re-skill &amp; change careers.  Still admire and respect their resiliency.  For example our model perform jobs of 1000s of people. There will be morphing ie new roles will open up &amp; people adapt quickly,0,0,0,,,,,
17,2023-03-07 17:52:42+00:00,vinodmimit,@ylecun @NotionAddon,1,0,0,,,,,
18,2023-03-07 16:37:31+00:00,Oktahedro,"@ylecun Bonjour
Je bosse sur la (re)classification automatique de 16 millions de documents médicaux divers selon https://t.co/s8nIOt6TzO
Pensez vous que la conversion des docs, pdf, rtf, images,etc. en djvu puisse être une étape intéressante avant entrainement ?",1,0,0,,,,,
19,2023-03-07 16:28:39+00:00,JohnBlackburn75,"@ylecun @LerrelPinto @nyuniversity How long until we have robot servants who can cook, wash, take out the trash etc? That's a billion dollar industry and robot doesn't need a very high IQ. (and I don't care what its politics are!)",0,1,0,,,,,
