,date,author,converation,replies number,likes number,rewteet number
0,2023-02-04 05:36:07+00:00,cathiedwood,@CathieDWood Exactly,1,1,0
1,2023-02-04 05:32:29+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK You n l have 2 work 2ether.,0,0,0
2,2023-02-04 05:24:26+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK Im inflation and Im going to be back soon. The 20% rally in the indices and 100% rally in risk-on stocks in just 3 weeks has been a feast. Don't believe me Mr. BURNS? Read this. https://t.co/1MB5baNcSh,0,0,0
3,2023-02-04 05:23:04+00:00,cathiedwood,@CathieDWood Hi Mama 😍🙏,1,0,0
4,2023-02-04 05:16:19+00:00,cathiedwood,@CathieDWood Cathy should rev-share be in doge?,0,1,0
5,2023-02-04 05:16:16+00:00,cathiedwood,@CathieDWood What are you so excited about dummy?,1,0,0
6,2023-02-04 05:12:38+00:00,cathiedwood,"@CathieDWood how will anyone charge their electric cars in a grid down scenario? Potential nuclear war, catastrophic devastation will destroy America’s ability to provide power. Working on a true energy emerging technology.",0,0,0
7,2023-02-04 05:12:05+00:00,cathiedwood,@CathieDWood Noted .,1,1,0
8,2023-02-04 05:10:24+00:00,cathiedwood,@CathieDWood Rip. They don’t even have money for servers,1,5,0
9,2023-02-04 05:10:24+00:00,cathiedwood,"@CathieDWood solar, wind, ???",0,0,0
10,2023-02-04 05:09:34+00:00,cathiedwood,@CathieDWood How are you marking your investment at $54.20?,1,13,0
11,2023-02-04 05:09:16+00:00,cathiedwood,@CathieDWood YouTube model,1,1,0
12,2023-02-04 05:07:37+00:00,cathiedwood,@CathieDWood Is Cathie a dime?,1,1,0
13,2023-02-04 05:06:39+00:00,cathiedwood,@CathieDWood Bullish on TSLA LETS GOO https://t.co/iKQURfg1wY,0,3,0
14,2023-02-04 05:05:52+00:00,cathiedwood,@CathieDWood Dogetothemoon,1,1,0
15,2023-02-04 05:05:34+00:00,cathiedwood,@CathieDWood I love Cathie https://t.co/lb8JNXuleF,0,12,1
16,2023-02-04 05:05:34+00:00,cathiedwood,@CathieDWood Wooaahhhh!!!,0,1,0
17,2023-02-04 05:05:17+00:00,cathiedwood,@CathieDWood Twitter should pay to get around paywalls for blue tick subscription. Would make me subscribe!,1,2,0
18,2023-02-04 05:05:11+00:00,cathiedwood,@CathieDWood Omg I thought you answered my tweet lol it came up as a notification lol my heart stopped. https://t.co/JWeNw0EsHl. My son,0,0,0
19,2023-02-04 05:04:47+00:00,cathiedwood,@CathieDWood * just pay for our subscription first (hopefully the rev share is decent though…),2,3,0
20,2023-02-04 05:04:37+00:00,cathiedwood,@CathieDWood yep.....,1,1,0
21,2023-02-04 05:04:29+00:00,cathiedwood,@CathieDWood Cathie fucks with the ‼️ now?? Baby why don’t you come pull up to my apartment and I’ll show you a good time‼️‼️‼️,5,11,0
22,2023-02-04 05:04:28+00:00,cathiedwood,@CathieDWood ✨🚀,0,1,0
23,2023-02-04 05:04:17+00:00,cathiedwood,@CathieDWood Amazing,0,1,0
24,2023-02-04 05:04:06+00:00,cathiedwood,@CathieDWood Why is your team so quiet on Vuzix?,1,6,0
25,2023-02-04 04:13:54+00:00,cathiedwood,"@CathieDWood  Hey, just wanted to say I dig your conviction and your ability to stay your course. It’s inspirational big fan of it #BTC $coin $Tsla",0,0,0
26,2023-02-04 04:11:28+00:00,cathiedwood,"@CathieDWood @dpuellARK @yassineARK bad timing to tell when the portfolios lost more than 80%, no credibility",0,0,0
27,2023-02-04 03:39:48+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK She a cramer 2.0 frfr,0,0,0
28,2023-02-04 03:31:46+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK What a fantastic report. Nice set of technical and macro charts. Thank you for sharing,0,0,0
29,2023-02-04 03:20:33+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK https://t.co/pfUfESPgEZ,0,0,0
30,2023-02-04 02:39:44+00:00,cathiedwood,"@CathieDWood @dpuellARK @yassineARK Every chart 2010-2022 is irrelevant now that we are at the end of the QE and the low interest Era. These so called ""cycles"" are a thing of the past. Unless they flip the switch back",0,0,0
31,2023-02-04 02:29:56+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK @clandaw410,0,0,0
32,2023-02-04 02:11:27+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK Lol.  Just stop making stuff up,0,0,0
33,2023-02-04 02:09:39+00:00,cathiedwood,"@CathieDWood @dpuellARK @yassineARK i wish i understood cryptocurrency; also, i wish i understood quantum theory; also ...",0,0,0
34,2023-02-04 01:57:52+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK Bitcoin follows the expected global economic activity much like the metals index tracing back to 2018,0,3,0
35,2023-02-04 01:44:53+00:00,cathiedwood,@CathieDWood @ARKInvest You​ smoke​ too​ much​ and​ your​ team​ get​ too​ high​ when​ you​ do​ the​ Research.,0,0,0
36,2023-02-04 01:33:38+00:00,cathiedwood,"@CathieDWood @dpuellARK @yassineARK What does it mean that BTC has ""robust fundamentals""? Serious question.",1,0,0
37,2023-02-04 01:15:04+00:00,cathiedwood,"@CathieDWood @dpuellARK @yassineARK DigiByte is a blockchain technology that is not only secure and fast, but also decentralized and empowering. With its cutting-edge features and innovative solutions, DigiByte is a trailblazer in the world of cryptocurrency, offering users a new level of freedom and control.",0,0,0
38,2023-02-04 01:07:23+00:00,cathiedwood,"@CathieDWood @dpuellARK @yassineARK Cathy, get some btc miners!",0,0,0
39,2023-02-04 01:05:30+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK No such thing as seller exhaustion lol,0,0,0
40,2023-02-04 01:03:28+00:00,cathiedwood,"@CathieDWood @dpuellARK @yassineARK How can you say this while literally retweeting a 200MA turned resistance is being retested.

Wtf, I thought you manage money of others",1,0,0
41,2023-02-04 00:45:27+00:00,cathiedwood,"@CathieDWood @dpuellARK @yassineARK @ProCoinNews
@FoxBusiness
@EMPOWR_us
@IntegrityforUSA
When someone is more worried about pumping their bags rather than being factual it's.....interesting, yes, interesting. 
👇👍🤡
https://t.co/B3rSZdH04d",0,0,0
42,2023-02-04 00:33:47+00:00,cathiedwood,"@CathieDWood @dpuellARK @yassineARK Impressive,

But then again...

I always knew you did your homework.",0,0,0
43,2023-02-04 00:31:39+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK there is zero chance $BTX doesn't make new high in the next 12-24 months   period... your right CW,0,0,0
44,2023-02-04 00:30:04+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK Lol  letsssss gooooo https://t.co/x3TwFVxshf,0,1,0
45,2023-02-04 00:16:11+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK If you need more/better help please reach out.,0,0,0
46,2023-02-04 00:15:15+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK https://t.co/sUQ8VQ18gU,0,0,0
47,2023-02-04 00:12:03+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK Dogehie Wood,0,0,0
48,2023-02-04 00:09:04+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK It is testing 50 days moving average(monthly). Still there is a big gap between 25k and 30k. #Bitcoin $btc.x https://t.co/am0oH1EcU7,1,1,0
49,2023-02-03 23:36:27+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK No serious investor can apparently stake so high on crypto. Embarrassing.,0,2,0
50,2023-02-03 23:35:10+00:00,cathiedwood,@CathieDWood @systemic_bliss @dpuellARK @yassineARK We love you Queen! 👸,0,4,0
51,2023-02-03 23:34:51+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK Looks like it about to get rejected.,0,0,0
