,date,author,converation,replies number,likes number,rewteet number
0,2023-03-03 05:27:43+00:00,cathiedwood,"On @CNBC this week, @SaraEisen asked if #Tesla is cutting prices in response to competition. After investor day, @skorusARK illustrated that Tesla is passing along drivetrain cost declines that will cut the price of the Model 3 in half to $25,000, undercutting competition!",111,1005,138
1,2023-03-02 03:11:38+00:00,cathiedwood,"Welcome to @ARKInvest, Daniel! We are delighted that you will be working with @TashaARK and @skorusARK to  research autonomous mobility, the biggest technologically-enabled revenue opportunity that we expect to evolve during the next five to ten years.",44,365,21
2,2023-02-28 17:36:30+00:00,cathiedwood,@daltonan Looking forward to tuning in!,3,21,2
3,2023-02-18 05:03:38+00:00,cathiedwood,"One more thought: @ARKInvest has a five year investment time horizon. Now that the most brutal interest rate increase in history is near an end, growth stocks in general and innovation-based strategies in particular should make up for lost time.",240,1755,137
4,2023-02-18 04:53:34+00:00,cathiedwood,"Thank you, @EricBalchunas, for defending active equity management. Upon hearing why I founded @ARKInvest in 2014, a friend who was not in the investment business said, “Oh, you mean the future of investing is investing in the future?” Yes! Please see ARK’s Big Ideas 2023.",35,387,29
5,2023-02-18 04:30:00+00:00,cathiedwood,"Think about AI as the assembly line for knowledge workers! Roughly 100 years ago, the assembly line turbocharged the Industrial Revolution. Today, AI is turbocharging the digital revolution, not only for enterprises but also for consumers.",64,942,138
6,2023-02-18 04:23:29+00:00,cathiedwood,"Charlie Munger and many on Wall Street do not understand that passing along the lower costs associated with technologically-enabled innovation, in #Tesla’s case batteries and drivetrains, will cause a boom in unit demand, discrediting the Keynesian/Fed’s Phillips Curve model.",359,3143,350
7,2023-02-15 01:22:27+00:00,cathiedwood,"The 10-fold increase in lithium prices during the past two years is a clarion call for more production and supply. Now that CATL in China, Samsung and LG in Korea, and major auto makers have committed to the EV revolution, odds are high that lithium will be in excess supply…",260,1726,205
8,2023-02-11 04:05:26+00:00,cathiedwood,"So, activity moves to offshore exchanges or to self custody, self sovereignty, and self control? Decentralization wins. Great! Given regulatory arbitrage, however, US exchanges lose to foreign exchanges, not so good for US competitiveness in the crypto revolutions, in my view.",143,1698,262
9,2023-02-10 03:35:29+00:00,cathiedwood,".@ARKInvest is thrilled that Emmaline and Camilla, students participating in the pilot sixth grade science curriculum powered by our research at the Pinellas Park Middle School, received the FAST award for their science project and will compete at the Florida State Science Fair!",27,605,26
10,2023-02-08 02:45:46+00:00,cathiedwood,Connected TV should be a prime beneficiary of the $70 billion shift in advertising dollars from linear to digital TV in the US and the $170 billion shift globally. Good catch @andrewkimARK!,59,360,55
11,2023-02-04 05:03:44+00:00,cathiedwood,‼️,81,1728,96
12,2023-02-03 23:00:13+00:00,cathiedwood,Bitcoin Monthly includes several important charts suggesting seller exhaustion and robust fundamentals. Thank you @dpuellARK  and @yassineARK!,84,829,125
13,2023-02-01 03:25:09+00:00,cathiedwood,"With many thanks to our Chief Futurist, @wintonARK, our Directors, @tashaARK, @skorusARK, @sbarnettARK, @downingARK, our phenomenal analysts, our unmatched marketing team - led by Lisa Dodd - and a compliance team that truly understands the value of transparency!",28,256,13
14,2023-02-01 03:25:09+00:00,cathiedwood,"From AI and multi-omics to blockchain technologies, energy storage and beyond, Big Ideas 2023 details ARK’s forecasts for these technologies and the powerful convergences between and among them. The future of investing is investing in the future. Be on the right side of change!",19,391,30
15,2023-02-01 03:25:08+00:00,cathiedwood,"Today, @ARKInvest published the seventh edition of Big Ideas 2023. According to our research, the market value of disruptive innovation platforms could scale 40% at an annual rate during this cycle, from $13 trillion today to $200 trillion by 2030.

https://t.co/CC03vRWyzA",170,1916,361
