,date,author,converation,replies number,likes number,rewteet number
0,2023-02-11 16:34:38+00:00,taylorlorenz,"@TaylorLorenz @mindyisser Honestly, how the fuck did you think that was relevant?",0,0,0
1,2023-02-11 16:31:41+00:00,taylorlorenz,@TaylorLorenz @_celia_bedelia_ Taylor what would you say you actually do for a living,1,28,0
2,2023-02-11 16:30:01+00:00,taylorlorenz,@TaylorLorenz @_celia_bedelia_ Mariah Carey wrote a song about you called obsessed you should check it out,0,16,0
3,2023-02-11 16:26:26+00:00,taylorlorenz,@TaylorLorenz Yeah. Great job to the person who's running this site!,0,1,0
4,2023-02-11 16:25:48+00:00,taylorlorenz,"@TaylorLorenz, as a journalist, why aren’t you asking the relevant questions? I.e. what is causing the massive increase in…
Healthy children &amp; adults dying from heart attacks &amp; strokes? 
Healthy people developing blood clots?
Miscarriages &amp; stillbirths? https://t.co/Wmyw43Ma1y",1,1,1
5,2023-02-11 16:25:01+00:00,taylorlorenz,@TaylorLorenz @mindyisser have you left your house in the past 6 months lol,0,0,0
6,2023-02-11 16:24:23+00:00,taylorlorenz,@TaylorLorenz @SarahPilferman @Trans_Lykeia Oh my god Taylor why are you following me around twitter?,4,16,0
7,2023-02-11 16:23:13+00:00,taylorlorenz,"@TaylorLorenz All those moments, lost. Like tears, in the rain...... https://t.co/2k1BKwHCgN",1,2,0
8,2023-02-11 16:21:02+00:00,taylorlorenz,@TaylorLorenz @bastiatx @_celia_bedelia_ @JCooper459 I just want to ask you this. What proportion of the long Covid you mention are vaccinated to some level and what proportion are completely unvaccinated? There is a vaccine symptom very similar to long Covid too.,2,0,0
9,2023-02-11 16:17:57+00:00,taylorlorenz,"@TaylorLorenz Oh no, all good. I figured it was a mistake. Yay!!",0,1,0
10,2023-02-11 16:04:59+00:00,taylorlorenz,@TaylorLorenz @DavidAstinWalsh @wsbgnl @kaitlinrh She isn’t denying COVID or it’s risks. She is clearly starting its omnipresent and a risk that unfortunately we have to learn to mitigate. JFC,1,2,0
11,2023-02-11 15:56:18+00:00,taylorlorenz,@TaylorLorenz Has done nothing to help anyone her whole life!,0,1,0
12,2023-02-11 15:55:40+00:00,taylorlorenz,"@TaylorLorenz @DrJBhattacharya @washingtonpost 

DRINKING MY COFFEE THIS MORNING THINKING ABOUT JOURNALISTS WHO GET CAUGHT SMEARING, over and over and over
HAVE NO INTEGRITY AND HAVE RECORDS OF PROVIDING DEFAMATORY MISINFORMATION 

…and cont to get caught by pushing a bias narr",2,0,1
13,2023-02-11 15:54:34+00:00,taylorlorenz,@TaylorLorenz @_celia_bedelia_ Is Lorenz a parody account!?!,0,1,0
14,2023-02-11 15:52:04+00:00,taylorlorenz,"@TaylorLorenz @_celia_bedelia_ Mentally disabled, you are for sure",0,1,0
15,2023-02-11 15:50:46+00:00,taylorlorenz,"If u go on and on about how I’m a “fear monger to the extreme,” then fail to produce a single example of me “fear mongering” you’re simply a liar. And you’re lying to defend ppl who continue to minimize and dismiss the pandemic.",1,198,1
16,2023-02-11 15:48:58+00:00,taylorlorenz,"@TaylorLorenz @_celia_bedelia_ Taylor, YOU’RE NOT DISABLED, YOU’RE JUST A LIBERAL WHITE WOMAN",0,6,0
17,2023-02-11 15:45:36+00:00,taylorlorenz,@TaylorLorenz congrats on waking up.  Sorry to hear about your losses.  Use your position as reporter to do some real independent investigating.  These #suddendeaths aren’t coincidences,0,2,0
18,2023-02-11 15:42:57+00:00,taylorlorenz,@TaylorLorenz sheesh how much do you hate disabled people 😞,0,0,0
19,2023-02-11 15:36:20+00:00,taylorlorenz,@TaylorLorenz @mindyisser Taylor Lorenz is pro smoking on trains,0,2,0
20,2023-02-11 15:35:32+00:00,taylorlorenz,@TaylorLorenz https://t.co/QEadQO3Cwk,0,0,0
21,2023-02-11 15:35:10+00:00,taylorlorenz,@TaylorLorenz https://t.co/fd0OnDq70Q,0,0,0
22,2023-02-11 15:34:58+00:00,taylorlorenz,@TaylorLorenz https://t.co/aqgklMBLxQ,0,0,0
23,2023-02-11 15:34:45+00:00,taylorlorenz,@TaylorLorenz https://t.co/JIUc8jccSl,0,0,0
24,2023-02-11 15:34:33+00:00,taylorlorenz,@TaylorLorenz https://t.co/t4PQacsLmZ,0,0,0
25,2023-02-11 15:34:17+00:00,taylorlorenz,@TaylorLorenz https://t.co/qhvbuf3VsO,0,0,0
26,2023-02-11 15:34:04+00:00,taylorlorenz,@TaylorLorenz https://t.co/fc2NptUb2r,0,0,0
27,2023-02-11 15:33:51+00:00,taylorlorenz,@TaylorLorenz https://t.co/LMbbjMn35A,0,0,0
28,2023-02-11 15:33:34+00:00,taylorlorenz,@TaylorLorenz https://t.co/Gz70U3xQhN,0,0,0
29,2023-02-11 15:33:18+00:00,taylorlorenz,@TaylorLorenz https://t.co/wY6OTZmy4E,0,0,0
30,2023-02-11 15:33:16+00:00,taylorlorenz,@TaylorLorenz,0,0,0
31,2023-02-11 15:32:21+00:00,taylorlorenz,@TaylorLorenz @DavidAstinWalsh @kaitlinrh Covid denial is when you say people should get boosters? Interesting thought process you have,0,2,0
32,2023-02-11 15:27:30+00:00,taylorlorenz,"@TaylorLorenz @mindyisser jesus, lady",0,1,0
33,2023-02-11 15:27:25+00:00,taylorlorenz,"@TaylorLorenz
We. Can let you into a little secret. Stop normalising the mRNA use.",0,0,0
34,2023-02-11 15:25:07+00:00,taylorlorenz,@TaylorLorenz @_celia_bedelia_ You’re still whining about Covid in 2023 https://t.co/bM6CVgA0lz,0,0,0
35,2023-02-11 15:23:00+00:00,taylorlorenz,@TaylorLorenz @mindyisser can i get banned for typing out the c-word on twitter? because you're by far the biggest c-word on twitter lmao,0,0,0
36,2023-02-11 15:21:15+00:00,taylorlorenz,@TaylorLorenz @mindyisser Why are you like this Taylor? Get help.,0,0,0
37,2023-02-11 15:20:25+00:00,taylorlorenz,@TaylorLorenz makes the world a worse and more divisive place #wapo,0,0,0
38,2023-02-11 15:19:40+00:00,taylorlorenz,@TaylorLorenz @transscribe @kattenbarge You realize how arrogant that sounds? Do you think readers connect with that?,1,1,0
39,2023-02-11 15:18:56+00:00,taylorlorenz,@TaylorLorenz   Hey Taylor -- Glenn provides incredible insight into yourself - will save you thousands in shrink fees!!!,0,0,0
40,2023-02-11 15:15:30+00:00,taylorlorenz,@TaylorLorenz?,0,0,0
41,2023-02-11 15:14:13+00:00,taylorlorenz,@TaylorLorenz you are a pedophile protector who won't admit the covid Vax is killing people. carry on girlfriend,0,0,0
42,2023-02-11 15:13:46+00:00,taylorlorenz,@TaylorLorenz is a shitty excuse for a reporter,0,0,0
43,2023-02-11 15:06:16+00:00,taylorlorenz,"@TaylorLorenz @mindyisser Taylor is saying that not wearing a mask is the equivalent of being in a crack smoke filled train car… The unscientific, delusional, harmful antics of the Covid obsessed far left have no bounds….",0,0,0
44,2023-02-11 15:05:47+00:00,taylorlorenz,@TaylorLorenz @_celia_bedelia_ The ship she’s talking about had 6 million dead people on it.,0,1,0
45,2023-02-11 15:04:45+00:00,taylorlorenz,@TaylorLorenz @mindyisser that's not what the tweets say at all,0,1,0
46,2023-02-11 15:04:01+00:00,taylorlorenz,@TaylorLorenz @bastiatx @_celia_bedelia_ @JCooper459 She is correct Taylor.  And we all know you love to dox people as well.,1,1,0
47,2023-02-11 15:03:31+00:00,taylorlorenz,@TaylorLorenz @Loretta_Torrago,0,0,0
48,2023-02-11 15:02:56+00:00,taylorlorenz,@TaylorLorenz those young people are dying because of the covid shot you and your ilk forced into the veigns of the innocent.   Democrats can go yo hell with thier woe is me act.  You are all murderers.   Enjoy hell.,0,0,0
49,2023-02-11 15:01:38+00:00,taylorlorenz,"@TaylorLorenz it’s truly@sad that you literally cannot handle public discourse, so much so are you afraid of opposing facts and opinions that you won’t allow commenting on any of your tweets. Sad sad lady. Maybe don’t dox people sweetheart.",0,0,0
