,date,author,converation,replies number,likes number,rewteet number
0,2023-03-07 23:12:40+00:00,taylorlorenz,"@TaylorLorenz they have double speed, I’ve been using it for a few months now!",0,2,0
1,2023-03-07 22:02:05+00:00,taylorlorenz,"@TaylorLorenz Yes, COVID is absolutely shaped by social murder.

I think we need to give ""social murder"" the same name that American progressives of the turn of the century called it: ""eugenics.""",0,1,0
2,2023-03-07 21:46:54+00:00,taylorlorenz,@TaylorLorenz the longer the tik tok the quicker i swipe next,0,1,0
3,2023-03-07 21:39:55+00:00,taylorlorenz,"""While the pandemic has been long and brutal... its effects-- especially in the forms of organized abandonment and of social murder-- have only just begun, if we keep to our current trajectory.""
https://t.co/SNskWm496e",0,50,17
4,2023-03-07 21:38:45+00:00,taylorlorenz,"""Crises like Covid are best understood as political crises, shaped by what Friedrich Engels called ​'social murder,' the process by which the state makes certain populations more susceptible to premature death and maiming"" 
https://t.co/SNskWm496e",2,69,24
5,2023-03-07 21:37:06+00:00,taylorlorenz,"""To build a better future, we have to commit to setting aside the false binary between the ​'healthy' and the medically vulnerable that many of us carry... and instead acknowledge our collective vulnerability."" https://t.co/SNskWm496e",1,50,16
6,2023-03-07 21:36:04+00:00,taylorlorenz,"""There is no individuated escape from the pandemic. There is no ​'targeted intervention' that will end it for some but not all. A pandemic is an inherently relational phenomenon, and transmission is a social process"" https://t.co/SNskWm496e",1,44,12
7,2023-03-07 21:34:40+00:00,taylorlorenz,The Biden admin has worked to paint Covid as something happening to other ppl. This form of cruel optimism — shared by liberals &amp; conservatives alike — solidifies the [false] idea that only ppl dying of Covid are already close to death or personally responsible for their illness.,1,63,15
8,2023-03-07 21:32:04+00:00,taylorlorenz,"""CDC director Walensky said it was ​'encouraging news' that the majority of people dying of Covid had underlying conditions, a statement that, in addition to devaluing the lives of disabled and immunocompromised people, had no sound evidentiary basis.""
https://t.co/SNskWm496e",1,81,27
9,2023-03-07 21:31:16+00:00,taylorlorenz,"""Biden has gone to significant lengths to [falsely] portray the pandemic as primarily a concern for a small fraction of the population... despite data showing that 60% of Covid deaths in a given month are among the vaccinated"" https://t.co/SNskWm496e",1,55,16
10,2023-03-07 21:28:42+00:00,taylorlorenz,"""The Biden administration spearheaded the mass abandonment and stigmatization of universal masking, still one of the most important pandemic interventions we have.""
https://t.co/SNskWm496e",1,72,26
11,2023-03-07 21:27:26+00:00,taylorlorenz,"""[Biden's] campaign promises never materialized at all, including a 100k strong national contact-tracing workforce, ​“rigorous” new Covid-specific guidelines from OSHA to protect workers, and federally guaranteed paid sick leave."" https://t.co/SNskWm496e",1,111,43
12,2023-03-07 21:22:33+00:00,taylorlorenz,"""More than half of all Covid deaths are among ppl who are fully vaccinated. Millions are experiencing the disabling effects of long Covid... The Biden administration has been chiefly responsible for normalizing this ongoing tragedy."" https://t.co/SNskWm496e",1,95,44
13,2023-03-07 18:55:42+00:00,taylorlorenz,@TaylorLorenz @JUNlPER speaking of which: https://t.co/koO4gr6BXs,0,31,1
14,2023-03-07 18:37:56+00:00,taylorlorenz,"@TaylorLorenz Hi, I see that you've written about the GamesStop squeeze before. Are you familiar with $MMTLP? @FINRA prevented a short squeeze by halting trading &amp; short positions have gone unreconciled for nearly 90 days now. If interested, please contact former CEO @johnbrda",0,0,0
