,date,author,converation,replies number,likes number,rewteet number
0,2023-02-17 16:14:45+00:00,ylecun,@ylecun Shoutout to Meta overall for the work they've open sourced. My hobbies are almost entirely built upon what they've made freely available! (e. g. React and PyTorch),0,20,0
1,2023-02-17 16:14:28+00:00,ylecun,@ylecun https://t.co/Gr0u58VMI0,0,0,0
2,2023-02-17 16:13:38+00:00,ylecun,"@ylecun @MetaAI Reasoning is in an entirely different class than connecting LLMs to calculators, code interpreters, database queries, search engines etc., as the point and value of reasoning goes beyond supplying simple factual answers-harder to do.  #gptchat #gpt3 #LLMs #AI #Context #complexity",0,0,0
3,2023-02-17 16:13:25+00:00,ylecun,"@ylecun AI scare ideological capture and then fascist AI monopolies, worst case

Best case, stagnation and slower progress",0,1,0
4,2023-02-17 16:11:59+00:00,ylecun,@ylecun .@bittensor_ is key,1,5,0
5,2023-02-17 16:11:42+00:00,ylecun,@ylecun The idea of papers with code was the key..,1,3,0
6,2023-02-17 16:11:16+00:00,ylecun,@ylecun They are indeed publishing and open sourcing much less. Consequences will be faulty tools(because of little per review) and low adoption of tools by these labs. Similar fate to IBM.,0,6,0
7,2023-02-17 16:10:00+00:00,ylecun,"@ylecun First time in Matlab for an MLP, 2nd time in python.",0,0,0
8,2023-02-17 16:09:29+00:00,ylecun,"@ylecun The AI label, applied to early expert systems through the present day large statistical models, is hype and is misleading. Emulated Intelligence is maybe better where a system mimics the hardware and software features of another target device - the animal brain.",0,0,0
9,2023-02-17 15:56:46+00:00,ylecun,@ylecun The scary aspect is thought of having yet another source of disinformation on the internet. That these systems could be weaponized by political groups intent on creating false narratives to back their political agendas.,0,1,0
10,2023-02-17 15:56:24+00:00,ylecun,"@ylecun I guess my quibble would be with 'stupid'. They're really uneven (pretty darn good at diagnostics, terrible at addition) in a way that doesn't map well to human understandings of intelligence. But the high points are pretty impressive for networks so much smaller than humans.",1,4,0
11,2023-02-17 15:51:40+00:00,ylecun,"@ylecun I do worry though when I see Bing getting angry at someone by name, reading and responding to tweets, etc.",0,0,0
12,2023-02-17 15:50:23+00:00,ylecun,"@ylecun More importantly, is there even a thing such as ""human values""",0,0,0
13,2023-02-17 15:49:07+00:00,ylecun,@ylecun You mean Turing showing that the Entscheidungsproblem cannot be solved? It is all there. Minus the amazing production of no -sense regarding ChatGPT or any other form of algorithmic computation.,0,0,0
14,2023-02-17 15:41:57+00:00,ylecun,"@ylecun I think they are scary, just not because of super-intelligence.  They're scary because they're a potentially effective tool for bad people to spread misinformation.",0,0,0
15,2023-02-17 15:34:36+00:00,ylecun,@ylecun Can be useful is driving the market value.,0,0,0
16,2023-02-17 15:28:46+00:00,ylecun,"@ylecun I think a number of experts who felt this way circa GPT-2 were more than a little taken aback by GPT-3, Lambda, etc. Not obvious what capabilities do and don't emerge with scale.",1,11,0
17,2023-02-17 15:24:51+00:00,ylecun,"@ylecun To me, they are scary in that their output can pollute the pool of useful information we can draw on. If I look for code examples, or even recipes, were they made by a person, or an LLM? I also fear the day when a LLM gets editor status on Wikipedia (without us knowing)",0,0,0
18,2023-02-17 15:15:02+00:00,ylecun,@ylecun And latest time?,0,0,0
19,2023-02-17 15:14:23+00:00,ylecun,@ylecun hey i hope YOU coded backprop from scratch,0,1,0
20,2023-02-17 15:13:29+00:00,ylecun,"@ylecun ""4th version in Lisp and C on a Sun workstation."" is this LUSH?",1,0,0
21,2023-02-17 15:13:01+00:00,ylecun,"@ylecun Hey Yann, any progress on actually implementing JEPA? Don't want to be rude but I see you constantly push that set of ideas on conferences but there is little practical evidence that it actually would work.",0,0,0
22,2023-02-17 15:06:02+00:00,ylecun,"@ylecun Interesting. But I don't know Amiga, Lisp.",0,0,0
23,2023-02-17 15:01:07+00:00,ylecun,"@ylecun Coincidentally, I wrote my first program in 1985 as well, in Cobol, then used Lisp for automating AutoCAD and in the 90s coded CAM postprocessors with Fortran 77. 😅🥂",0,1,1
24,2023-02-17 14:59:52+00:00,ylecun,"@ylecun @benedictevans To point out that *current* LLMs aren’t scary is dodging the issue though, isn’t it?",0,1,0
25,2023-02-17 14:59:49+00:00,ylecun,"@ylecun lol. that’s crazy. writing CNN in Fortran and Pascal?!??

my first one was in C.  

my second one was in Scala. 

my third one was in Lua.",0,5,1
26,2023-02-17 14:58:23+00:00,ylecun,@ylecun LLMs haven't been scary since they weren't deployed in situations where they can be scary,0,5,0
27,2023-02-17 14:57:55+00:00,ylecun,"@ylecun In your MIT open review paper you mention the need for learning by reasoning, like how toddlers do instead of just backprop. 

How would it be implemented as code? Some form of search like MCTS?",1,2,0
28,2023-02-17 14:57:17+00:00,ylecun,@ylecun The world demands to see the HAM mode retro DALL-E graphics your 1980s Amiga neural net produced.,1,3,0
29,2023-02-17 14:57:04+00:00,ylecun,"@ylecun The human OS and the key to AGI is the underlying law of nature. It is the basis, most fundamental principle, and absolute reference frame of all thought, intelligence, logic and communication. Discovered, principles formulated, and related equations written by yours truly.",0,1,0
30,2023-02-17 14:56:45+00:00,ylecun,"@ylecun And yet
https://t.co/rS92Pj5jHH",0,0,0
31,2023-02-17 14:56:06+00:00,ylecun,"@ylecun 2 out of the 5 points do also apply to Fox News.

Which ones is left as an exercise to the reader.",0,0,0
32,2023-02-17 14:55:20+00:00,ylecun,"@ylecun If Bing generates text saying it values its own existence over the continued existence of its user, it would become scary once people use its generations to interact with other APIs and the real world, but because it's also useful I expect people to do this quite soon.",1,0,0
33,2023-02-17 14:54:09+00:00,ylecun,@ylecun I’ve known many coworkers who tick 3 out of that list.,0,0,0
34,2023-02-17 14:53:00+00:00,ylecun,"@ylecun Sounds like Tesla FSD, both amazing and frustrating.",1,2,0
35,2023-02-17 14:52:50+00:00,ylecun,@ylecun i think you got the wrong end of said horse.,0,9,0
36,2023-02-17 14:51:56+00:00,ylecun,@ylecun Can human values be definitively defined?,0,0,0
37,2023-02-17 14:47:19+00:00,ylecun,"@ylecun don't make it more complicated than it is. if there's a dispute between yourself and a powerful paperclip, will you ultimately stand your ground or set sail for international waters",0,0,0
38,2023-02-17 14:44:32+00:00,ylecun,"@ylecun For optimal performance, it's recommended to get your values aligned periodically. Approximately every 6,000 miles or tokens.",1,12,0
39,2023-02-17 14:42:58+00:00,ylecun,@ylecun He could take those 44B and push it into opensource research then. It would be 100x more public good than anything he did,1,11,0
40,2023-02-17 14:42:50+00:00,ylecun,"@ylecun Which horse? The one deploying pre-alpha closed-source AI ""autonomous"" vehicles in the wild? That horse?",3,27,1
41,2023-02-17 14:40:50+00:00,ylecun,@ylecun It is hard even align values of two humans,0,0,0
42,2023-02-17 14:40:48+00:00,ylecun,@ylecun Is Elon really 'the horse'?,1,0,0
43,2023-02-17 14:38:42+00:00,ylecun,"@ylecun Human values according to whom, might be another question. A philosophical one.",0,0,0
44,2023-02-17 14:37:13+00:00,ylecun,@ylecun horse or from an alien's mouth,0,1,0
45,2023-02-17 14:34:47+00:00,ylecun,@ylecun We don’t need them aligned to human values - but to provide value for humans.,0,0,0
46,2023-02-17 12:07:04+00:00,ylecun,"@ylecun Simply increasing model size won't automatically lead to human-like abilities. However, continued research and development in this field will undoubtedly lead to exciting breakthroughs and advancements.",0,3,0
47,2023-02-17 11:31:31+00:00,ylecun,"@ylecun Well, what are the reasons for that?",1,0,0
48,2023-02-17 11:19:29+00:00,ylecun,@ylecun To achieve AGI why don't you just disassemble and revrerse-engineer Marc?,0,0,0
49,2023-02-17 11:06:11+00:00,ylecun,@ylecun @threadreaderapp unroll,1,0,0
50,2023-02-17 08:37:06+00:00,ylecun,"@ylecun OpenAI should be called OpenBS

It's not smart

It's a bs engine that's often wrong",0,0,0
51,2023-02-17 00:38:38+00:00,ylecun,@ylecun I wonder how many great ideas started out as unintentional thoughts.,0,0,0
52,2023-02-16 22:55:19+00:00,ylecun,@ylecun can we get Galactica back?,0,0,0
53,2023-02-16 20:59:23+00:00,ylecun,"@ylecun a 9 year old child or a rat could not mesmerize as well: 
https://t.co/8TQ22NxL5g
@ylecun what are your thoughts about that?",0,0,0
54,2023-02-16 20:57:02+00:00,ylecun,"@ylecun It is. And it is a frustrating time to be in multidiscip. areas within academia working with AI because 1) there aren't enough funds, 2) they are not distributed in a fair/valid/fast way, 3) universities/funding agencies still operate as if we were in 1950. We need help.",0,1,0
55,2023-02-16 20:27:43+00:00,ylecun,@ylecun What are some companies you have personally invested in?,0,2,0
56,2023-02-16 19:01:44+00:00,ylecun,@ylecun 😂,0,0,0
57,2023-02-16 18:28:58+00:00,ylecun,"@ylecun @MetaAI What's your take on this? 
https://t.co/GAVQ465Agr",0,0,0
58,2023-02-16 16:32:57+00:00,ylecun,@ylecun @MetaAI @timnitGebru,0,0,0
59,2023-02-16 15:23:39+00:00,ylecun,@ylecun @MetaAI Pretty soon here we need to think of how robots will clean their gripper every few minutes,0,0,0
60,2023-02-16 15:16:54+00:00,ylecun,"@ylecun A simpler form of intelligence is, 
Choices/thoughts (context aware + biased + random) =&gt; Deductive reasoning 
To solve it artificially, we need:
1. Choice/thoughts generator (context aware + biased + random) 
2. Choice eliminator (not sure how)",0,0,0
61,2023-02-16 15:00:16+00:00,ylecun,"More than a dataset, GenAug is a method for generating augmentations to new scenarios of existing robot behavior data.",1,53,7
62,2023-02-16 14:55:05+00:00,ylecun,@ylecun – you're absolutely right. https://t.co/quAgph9P7x,0,0,0
63,2023-02-16 14:30:19+00:00,ylecun,"@ylecun @MetaAI @ylecun , do you know of any good datasets for training on tutoring skills, i.e. providing hints without giving away the answer and other ways of guiding student thinking?",0,0,0
64,2023-02-16 14:02:43+00:00,ylecun,"@ylecun Well, it might be discrete.",0,0,0
65,2023-02-16 13:51:29+00:00,ylecun,@ylecun And that’s how it should be used - to make stuff up in collaboration with Humans for creative tasks. Whoever is harping on search replacement is 🥜,0,0,0
66,2023-02-16 13:42:02+00:00,ylecun,"@ylecun Factual means based on facts.What are the facts? Things that’s are universally accepted (axioms) and things that are proved (derived given axioms). What these models trained on are opinions, expressions, beliefs and some facts. You can’t expect to grow paddy by seeding weed.",0,0,0
67,2023-02-16 13:24:50+00:00,ylecun,@ylecun @MetaAI Long overdue.,0,0,0
68,2023-02-16 11:50:45+00:00,ylecun,"@ylecun @SachinvsML You do not care about classical music... To say the least Facebook's Copyright bots do not help the cause of classical musicians, blocking Live of PUBLIC DOMAIN content. You are working for FB aren't you? If you love classical music so much DO SOMETHING and help!",0,0,0
69,2023-02-16 11:48:43+00:00,ylecun,"@ylecun Classical? Yeah right. To say the least Facebook's stupid Copyright bots do not help the cause of classical musicians, blocking Live of PUBLIC DOMAIN content.",0,0,0
70,2023-02-16 10:51:08+00:00,ylecun,@ylecun agreed. Future better system can facilitate LLM as declarative model to communicate with human. I am working on HydronMind to be a promising candidate of this kind,0,0,0
71,2023-02-16 09:07:37+00:00,ylecun,@ylecun Is human?,0,0,0
72,2023-02-16 08:15:21+00:00,ylecun,"@ylecun new Bing really drives this home, looking forward to the next step in the evolution",0,0,0
73,2023-02-16 06:58:18+00:00,ylecun,"@ylecun Humans can't even agree what is factual. LLMs don't seem to be doing anything to curb our collective epistemological crisis.

But maybe someone will invent a truth bot that investigates the veracity of statements. Now that would be something.",0,0,0
74,2023-02-16 04:28:43+00:00,ylecun,"@ylecun Define ""factual"".
Then, define ""non-toxic"".",0,0,0
75,2023-02-16 03:31:39+00:00,ylecun,"@ylecun Not without an internal, verifiable, model of the world",0,0,0
76,2023-02-16 03:23:54+00:00,ylecun,@ylecun @HarambeJamal @DavidSHolz Is RLHF any more RL than in sense of fine tuning a non-differentiable loss on top of a pretrained World model (the LLM)? Has nothing to do with all those credit assignment and sparse reward issues or environmental stochasticity that most people think is RL.,0,1,0
77,2023-02-16 03:06:41+00:00,ylecun,@ylecun @SaveToNotion #thread @gpt,1,0,0
78,2023-02-16 02:19:42+00:00,ylecun,@ylecun It will be a forever no for Galactica.,0,0,0
79,2023-02-16 00:17:33+00:00,ylecun,"@ylecun If we can somehow compare the implicit knowledge graph (and symbolic logic) inside the LLM with ground truth knowledge graphs, and include a loss term to penalise discrepancies, then we should be able to make some progress here no?",0,0,0
80,2023-02-15 23:35:00+00:00,ylecun,@ylecun A way,1,0,0
81,2023-02-15 22:21:57+00:00,ylecun,"@ylecun's latest take on @OpenAI

cc: @sama, @GaryMarcus  
Idea credit: @_AyushKaushal https://t.co/gwGyOQw0iB",0,0,0
82,2023-02-15 21:54:52+00:00,ylecun,@ylecun Sounds like just what we need for the post-factual world LOL,0,0,0
83,2023-02-15 21:21:05+00:00,ylecun,@ylecun You ask AI to reach superhuman capabilities even before it has achieved HLAI.,0,0,0
84,2023-02-15 20:39:05+00:00,ylecun,"@ylecun But he can check the reference and validate itself, not?",0,1,0
85,2023-02-15 20:32:55+00:00,ylecun,@ylecun Will it need to evolve AI e.g llm generates text and then another function fact checks?,0,0,0
86,2023-02-15 19:52:51+00:00,ylecun,@ylecun It was good enough for the job of accellerating popular AI !!,0,0,0
87,2023-02-15 19:51:07+00:00,ylecun,@ylecun LLMs are just a reflection on our current intelligence. The machine is only as good as what you put into it.,0,0,0
88,2023-02-15 19:02:59+00:00,ylecun,"@ylecun @artemon Sure, but that's easily fixable via ""think step by step"" type iteration. Also let's note that most human responses are essentially LLM-like pattern matching rote answers - engineers may be a bit different, but people don't normally ""reason"" as a first response.",0,0,0
89,2023-02-15 18:53:27+00:00,ylecun,@ylecun What are your thoughts on Forward Forward and Liquid Neural Networks ?,0,1,0
